"DAT_OCR";"NUM_PLACA";"NUM_VELOCIDADE";"COD_LATITUDE";"COD_LONGITUDE";"LOCEQUIP"
23/07/23;"LMZ1091";43;"-22.9805625000";"-43.4235052778";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 9514 - SENTIDO RECREIO - FX 2"
23/07/23;"MNK5618";78;"-22.9994019000";"-43.5828711111";"AVENIDA DOM JOAO VI PROXIMO AO Nº 29501 - SENTIDO SANTA CRUZ - FX 3"
23/07/23;"NYY9060";43;"000.000000000";"000.0000000000";"RUA BENTO CARDOSO PROXIMO AO Nº 141 - SENTIDO UNICO - FX 3"
23/07/23;"KOU7078";60;"-23.0150000000";"-43.4705555600";"AVENIDA DAS AMERICAS PROXIMO AO Nº 16401 - SENTIDO SANTA CRUZ - FX 2 PISTA LATERAL"
23/07/23;"LYO9236";24;"-23.0036630000";"-43.3246000000";"AVENIDA AFONSO ARINOS DE MELO FRANCO PROXIMO A AVENIDA DAS AMERICAS - SENTIDO SANTA CRUZ - FX 1"
23/07/23;"RVP9E18";25;"-22.9340040000";"-43.3724830000";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 1099 - SENTIDO RECREIO - FX 3"
23/07/23;"LMB6063";18;"-22.8566130000";"-43.3291010000";"AVENIDA VICENTE DE CARVALHO PROXIMO A AVENIDA MINISTRO EDGAR ROMERO - SENTIDO BARRA - FX 2"
23/07/23;"FVI8093";28;"-22.9537020000";"-43.3757780000";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 3300 - SENTIDO RECREIO - FX 3"
23/07/23;"LUM9G10";24;"-23.0003120000";"-43.4303360000";"AVENIDA SALVADOR ALLENDE PROXIMO AO Nº 6300 - SENTIDO PRAIA - FX 2 PISTA LATERAL"
23/07/23;"KRP9708";35;"-22.9584750000";"-43.3836588889";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 4450 - SENTIDO RECREIO - FX 3"
23/07/23;"RKN8850";29;"-22.9584750000";"-43.3836588889";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 4450 - SENTIDO RECREIO - FX 4"
23/07/23;"KXC2C25";27;"-22.9584750000";"-43.3836588889";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 4450 - SENTIDO RECREIO - FX 4"
23/07/23;"FSF2360";30;"-22.9584750000";"-43.3836588889";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 4450 - SENTIDO RECREIO - FX 4"
23/07/23;"LCS2000";37;"-22.9584750000";"-43.3836588889";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 4450 - SENTIDO RECREIO - FX 3"
23/07/23;"RTU1F58";39;"-22.9584750000";"-43.3836588889";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 4450 - SENTIDO RECREIO - FX 4"
23/07/23;"KWQ8030";12;"-23.0004550000";"-43.4301970000";"AVENIDA SALVADOR ALLENDE PROXIMO AO Nº 6300 - SENTIDO PRAIA - FX 3 PISTA CENTRAL"
23/07/23;"WXC8242";51;"-22.9729180000";"-43.3982440000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO AO Nº 3500 - SENTIDO RIOCENTRO - FX 1 PISTA LATERAL"
23/07/23;"RFS0057";35;"-22.9635870000";"-43.3941590000";"AVENIDA SALVADOR ALLENDE PROXIMO AO N° 4755 - SENTIDO PRAIA - FX 2 PISTA CENTRAL"
23/07/23;"RKA0F31";23;"-23.0054610000";"-43.4311080000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 11899 - SENTIDO SAO CONRADO - FX 3 PISTA CENTRAL"
23/07/23;"KXS7B95";26;"-22.8506860000";"-43.3096380000";"AVENIDA VICENTE DE CARVALHO PROXIMO A AVENIDA MERITI - SENTIDO BARRA - FX 2"
23/07/23;"KYH7854";27;"-22.9544990000";"-43.3761100000";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 3963 - SENTIDO TANQUE - FX 2"
23/07/23;"KNZ7471";66;"-23.0156490000";"-43.4708920000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 16401 - SENTIDO SAO CONRADO - FX 2 PISTA CENTRAL"
23/07/23;"LMV9028";50;"-22.9974840000";"-43.3651030000";"AVENIDA AYRTON SENNA KM 1,7 - SENTIDO LINHA AMARELA - FX 3"
23/07/23;"LLV3486";50;"-22.8995000000";"-43.3849280000";"ESTRADA DO CATONHO PROXIMO AO Nº 977 - SENTIDO TAQUARA - FX 1"
23/07/23;"KXO9375";38;"-22.9675310000";"-43.3973870000";"AVENIDA SALVADOR ALLENDE PROXIMO AO Nº 971 - SENTIDO CURICICA - FX 1 PISTA LATERAL"
23/07/23;"LLW4252";61;"-23.0156490000";"-43.4708920000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 16401 - SENTIDO SAO CONRADO - FX 3 PISTA CENTRAL"
23/07/23;"KZC3124";42;"-22.9595420000";"-43.3880270000";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 4938 - SENTIDO RECREIO - FX 2"
23/07/23;"KQO9J98";27;"-22.9731500000";"-43.3854850000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO AO Nº 2400 - SENTIDO RIOCENTRO - FX 3 PISTA CENTRAL"
23/07/23;"YYS8268";25;"-22.8870130000";"-43.3449610000";"RUA CANDIDO BENICIO PROXIMO AO Nº 464 - SENTIDO BARRA - FX 2"
23/07/23;"LRD9200";19;"-22.9730640000";"-43.3794520000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO A AVENIDA IMPERATRIZ LEOPOLDINA - SENTIDO RIOCENTRO - FX 1 PISTA LATERAL"
23/07/23;"RKT8F79";60;"-22.9040000000";"-43.2734020000";"RUA ARQUIAS CORDEIRO PROXIMO AO Nº 112 - SENTIDO UNICO - FX 2"
23/07/23;"LRJ7A50";56;"-22.8985570000";"-43.5410890000";"RUA ARTHUR RIOS PROXIMO AO Nº 692 - SENTIDO CAMPO GRANDE - FX 1"
23/07/23;"YYU6942";63;"-22.9094444400";"-43.2044444400";"AVENIDA PRESIDENTE VARGAS PROXIMO A ESTACAO CIDADE NOVA - SENTIDO PRACA XV - FX 3 PISTA CENTRAL FAIXA EXCLUSIVA BRS"
23/07/23;"QND8147";55;"-22.9091666700";"-43.2041666700";"AVENIDA PRESIDENTE VARGAS PROXIMA A ESTACAO CIDADE NOVA - SENTIDO PRACA DA BANDEIRA - FX 1 PISTA CENTRAL"
23/07/23;"ESG8384";48;"-22.9166666700";"-43.2130555600";"RUA DOUTOR SATAMINI PROXIMO A PRACA DA MEDALHA MILAGROSA - SENTIDO SAENS PENA - FX 2"
23/07/23;"KQG2I17";18;"-22.8803731000";"-43.4737069444";"RUA DA FEIRA PROXIMO AO Nº 748 - SENTIDO REALENGO - FX 1"
23/07/23;"LSR1340";56;"-22.8044444000";"-43.2027777778";"ESTRADA DO GALEAO PROXIMO AO Nº 1950 - SENTIDO ZUMBI - FX 1"
23/07/23;"OMZ9B79";30;"-22.9270489000";"-43.5722583333";"ESTRADA DO MONTEIRO PROXIMO A RUA ESCULAPIO - SENTIDO BARRA - FX 2"
23/07/23;"RJD5477";53;"-23.0000140000";"-43.3780555556";"AVENIDA DAS AMERICAS PROXIMO AO Nº 6700 - SENTIDO SANTA CRUZ - FX 3 PISTA LATERAL"
23/07/23;"QMS8E13";19;"-23.0247222000";"-43.4566666667";"AVENIDA LUCIO COSTA PROXIMO AO Nº 16400 - SENTIDO PONTAL - FX 1"
23/07/23;"KUL7086";20;"-22.9363889000";"-43.3513888889";"AVENIDA GEREMARIO DANTAS PROXIMO AO Nº 1052 - SENTIDO RUA CANDIDO BENICIO - FX 1"
23/07/23;"RJL1067";53;"-23.0083239000";"-43.4441230556";"AVENIDA DAS AMERICAS PROXIMO AO Nº 13331 - SENTIDO SANTA CRUZ - FX 2 PISTA LATERAL"
